PDB ID,POI,E3,PROTAC res name,PROTAC chain,POI chain,E3 chain,count (cutoff 3 A),count (cutoff 3.5 A),SASA_E3_POI,SASA_E3,SASA_POI,SASA_interface
5T35,BRD4,VHL,759,D,A,D,3,11,15930.26,9489.61,7135.65,347.5
6BN7,BRD4-BD1,CRBN,RN3,B,C,B,0,10,26226.07,19541.77,7721.84,518.77
6BOY,BRD4-BD1,CRBN,RN6,B,C,B,3,10,26151.44,19512.8,7766.34,563.85
6HAX,SMARCA2,VHL,FWZ,B,A,B,3,8,15282.41,9101.19,6850.74,334.76
6HAY,SMARCA2,VHL,FX8,B,A,B,3,9,16196.56,9447.34,7407.66,329.22
6HR2,SMARCA4,VHL,FWZ,B,A,B,13,16,16072.61,9483,7358.1,384.24
6SIS,BRD4,VHL,LFE,D,A,D,2,6,15686.32,9391.96,6920.14,312.89
6W7O,BTK,cIAP1,TL7,A,A,C,3,8,17687.49,5669.92,13012.64,497.53
6W8I,BTK,cIAP1,TKY,C,A,D,1,2,17947.42,5371.97,12757.99,91.27
6ZHC,Bcl-xL,VHL,QL8,A,D,A,3,10,16776.26,9580.83,7824.68,314.63
7JTO,WDR5,VHL,VKA,B,B,L,2,5,19980.36,8767.08,11466.93,126.83
7JTP,WDR5,VHL,X6M,A,A,L,0,5,19854.17,8719.81,11935.23,400.44
7KHH,BRD4-BD1,VHL,WEP,C,D,C,1,6,16171.78,9029.35,7843.77,350.67
7PI4,FAK,VHL,7QB,A,D,A,1,4,23122.81,10048.33,13773.98,349.75
7Q2J,WDR5,VHL,8KH,D,D,C,3,3,20058.62,8965.3,11447.12,176.9
7S4E,SMARCA2,VHL,87A,B,A,B,3,5,15711.16,9288.9,7132.39,355.07
7Z6L,SMARCA2,VHL,IEI,A,A,B,0,0,15761,8907.13,7002.91,74.52
7Z76,SMARCA2,VHL,IFJ,D,D,C,3,6,15437.62,8866,7244.86,336.62
7Z77,SMARCA2,VHL,IFF,D,D,C,7,7,16964.16,9850.42,7530.59,208.43
7ZNT,BRD4,VHL,IZR,C,G,C,0,0,16670.54,9552.5,7176.47,29.22
8BB2,WDR5,VHL,Q3X,B,B,L,0,2,20640.02,9173.42,11566.89,50.14
8BB3,WDR5,VHL,Q3X,B,B,L,0,0,20784.1,9380.02,11461.71,28.82
8BB4,WDR5,VHL,Q3R,P,Q,P,1,2,20029.98,8844.9,11443.24,129.08
8BB5,WDR5,VHL,Q43,C,D,C,0,0,21725.98,9591.74,12311.53,88.65
8BDS,BRD4-BD1,VHL,QIY,C,D,C,3,7,16114.51,9060.24,7698.77,322.25
8BDT,BRD4-BD2,VHL,QLX,D,A,D,2,7,15024.88,9394.28,6391.36,380.38
8BDX,BRD4-BD2,VHL,QIY,D,A,D,2,6,14870.32,9046.72,6516.31,346.35
8BEB,BRD4-BD1,VHL,QIK,C,D,C,1,4,14790.5,8246.89,7140.87,298.63
8DSO,BTK,cIAP1,TOO,B,B,D,1,5,16962.13,5148.51,12434.14,310.26
8EWV,BRD4,VHL,X5K,K,D,C,2,3,15916.26,9163.19,7176.2,211.56
8FY0,BCL-xL,VHL,YF8,D,D,A,2,3,16708.54,9206.4,7820.06,158.96
8FY1,BCL-2,VHL,YF8,D,D,A,1,1,16608.29,8912.81,8106.86,205.69
8FY2,BCL-2,VHL,YFH,D,D,A,1,2,17512.63,9516.71,8229.46,116.77
8G1P,SMARCA2,VHL,FWZ,C,G,C,4,9,16068.16,9005.66,7710.7,324.1
8G1Q,SMARCA2,VHL,YHB,C,H,C,2,3,16160.19,9119.64,7456.52,207.98
8PC2,FKBP51 FK1 domain,VHL,XZW,B,G,B,21,24,15594.09,9144.29,6874.87,212.53
8QJR,SMARCA4,VHL,VLH,C,G,C,0,0,17121.64,9671.02,7450.62,0
8QU8,KRAS-G12V,VHL,WYL,F,F,A,0,1,18444.52,9822.63,8709.82,43.96
8QVU,KRAS,VHL,WYL,B,E,F,0,3,16718.61,8907.29,8273.3,230.99
8QW6,KRAS-G12V,VHL,X4R,E,E,F,0,3,16679.12,8586.28,8679.97,293.57
8QW7,KRAS-G12V,VHL,X53,B,A,B,0,5,16611.98,8765.03,8374.75,263.9
8R5H,BRD4-BD2,VHL,759,H,F,H,0,5,16854.87,9682.02,7568.63,197.89
8RQ9,BRD4-BD2,CRBN,A1H2F,C,D,C,1,7,23147.23,15864.86,7795.84,256.74
8RWZ,BRD4-BD2,VHL,759,A,A,B,10,16,17759.46,10777.84,7552.18,285.28
8RX0,BRD4-BD2,VHL,759,B,A,B,11,21,17203.53,10875.39,7115.63,393.75
8VL9,CDO1,VHL,A1ACI,A,D,A,0,6,17938.11,9002.19,9915.65,489.86
8VLB,CDO1,VHL,3JF,A,D,A,3,10,18054.62,9061.37,9966.57,486.66
8WDK,WEE1,VHL,W6U,V,W,V,3,13,25373.39,10662.85,16015.95,652.71
8YMB,BRD4-BD2,VHL,A1LY0,D,A,D,1,5,15596.16,9505.1,6704.03,306.49
9B9H,WDR5,DCAF1,A1AM2,A,A,B,2,9,26372.73,15230.74,12396.72,627.36
9B9T,WDR5,DCAF1,A1ANM,A,A,B,1,5,25741.04,14487.41,12055.95,401.16
9B9W,WDR5,DCAF1,A1ANN,A,A,B,1,1,25710.9,13939.51,12077.59,153.1
